
         10692900 function calls (9261265 primitive calls) in 55.373 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      976    0.001    0.000    0.014    0.000 <__array_function__ internals>:177(all)
     5193    0.006    0.000    0.061    0.000 <__array_function__ internals>:177(amax)
     2636    0.004    0.000    0.040    0.000 <__array_function__ internals>:177(amin)
     7773    0.007    0.000    0.084    0.000 <__array_function__ internals>:177(any)
     6435    0.006    0.000    0.023    0.000 <__array_function__ internals>:177(atleast_2d)
     1103    0.003    0.000    0.075    0.000 <__array_function__ internals>:177(clip)
     7458    0.008    0.000    0.121    0.000 <__array_function__ internals>:177(concatenate)
     2447    0.005    0.000    0.018    0.000 <__array_function__ internals>:177(copyto)
    86205    0.047    0.000    0.279    0.000 <__array_function__ internals>:177(dot)
     4880    0.006    0.000    0.015    0.000 <__array_function__ internals>:177(empty_like)
     1866    0.004    0.000    0.045    0.000 <__array_function__ internals>:177(expand_dims)
     1318    0.002    0.000    0.191    0.000 <__array_function__ internals>:177(in1d)
     1318    0.003    0.000    0.076    0.000 <__array_function__ internals>:177(insert)
     6435    0.005    0.000    0.276    0.000 <__array_function__ internals>:177(inv)
     1318    0.003    0.000    0.202    0.000 <__array_function__ internals>:177(isin)
     3072    0.003    0.000    0.063    0.000 <__array_function__ internals>:177(mean)
     1318    0.002    0.000    0.032    0.000 <__array_function__ internals>:177(moveaxis)
     2206    0.003    0.000    0.015    0.000 <__array_function__ internals>:177(ndim)
     3596    0.004    0.000    0.044    0.000 <__array_function__ internals>:177(norm)
      488    0.001    0.000    0.121    0.000 <__array_function__ internals>:177(percentile)
     3562    0.005    0.000    0.109    0.000 <__array_function__ internals>:177(roll)
      550    0.002    0.000    0.105    0.000 <__array_function__ internals>:177(stack)
      976    0.001    0.000    0.006    0.000 <__array_function__ internals>:177(take)
     1103    0.002    0.000    0.010    0.000 <__array_function__ internals>:177(transpose)
      488    0.001    0.000    0.010    0.000 <__array_function__ internals>:177(unique)
     1781    0.003    0.000    0.030    0.000 <__array_function__ internals>:177(where)
     1318    0.003    0.000    0.024    0.000 <__array_function__ internals>:177(zeros_like)
  603/284    0.005    0.000    0.648    0.002 <frozen importlib._bootstrap>:1002(_find_and_load)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1018(_gcd_import)
